"type_name","brand_name","model_name","transmission_name","fuel_name","year","engine_engineId","cons_consId"
"Hatchback","Suzuki","Wagon R","Automatic","Mild-Hybrid","2016",660,13.6
"Hatchback","Suzuki","Wagon R","Automatic","Mild-Hybrid","2017",660,17
"Off-Road Vehicle / SUV","Honda","Vezel","Automatic","Full-Hybrid","2014",1500,14.8
"Off-Road Vehicle / SUV","Honda","Vezel","Automatic","Full-Hybrid","2014",1500,15
"Off-Road Vehicle / SUV","Honda","Vezel","Automatic","Full-Hybrid","2015",1500,15.2
"Off-Road Vehicle / SUV","Honda","Vezel","Automatic","Full-Hybrid","2016",1500,17.5
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2016",1500,15
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2016",1500,14.1
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2015",1500,13.5
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2014",1500,14.2
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2013",1500,12.9
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2012",1500,12.7
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2011",1500,13.4
"Saloon","Toyota","Axio","Automatic","Petrol","2010",1500,13.1
"Saloon","Toyota","Axio","Automatic","Petrol","2009",1500,13.2
"Saloon","Toyota","Axio","Automatic","Petrol","2008",1500,13.6
"Saloon","Toyota","Axio","Automatic","Petrol","2007",1500,13.7
"Saloon","Toyota","Axio","Automatic","Petrol","2006",1500,13.6
"Saloon","Toyota","Axio","Automatic","Petrol","2005",1500,13.5
"Saloon","Toyota","Axio","Automatic","Full-Hybrid","2017",1500,13
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2018",2000,15
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2016",2000,11
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2015",2000,11.5
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2014",2000,11.1
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2013",2000,11.2
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2012",2000,11.1
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2011",2000,9.8
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2010",2000,9.7
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2009",2000,9.8
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2008",2000,9.8
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2007",2000,10.1
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2006",2000,9.8
"Off-Road Vehicle / SUV","Honda","CR-V","Automatic","Petrol","2005",2000,9.5
"Hatchback","Suzuki","Wagon R","Manual","Petrol","2016",1000,21
"Hatchback","Suzuki","Wagon R","Automatic","Mild-Hybrid","2016",660,18
"Hatchback","Suzuki","Wagon R","Automatic","Mild-Hybrid","2017",660,23
"Hatchback","Suzuki","Wagon R","Automatic","Mild-Hybrid","2018",660,24
"Hatchback","Suzuki","Wagon R","Automatic","Mild-Hybrid","2017",660,15
"Hatchback","Suzuki","Wagon R","Automatic","Mild-Hybrid","2017",660,12
