Make,Model,Year_of_ Man,First_Reg,Cylinders,Fuel,Capacity,kW,Mileage,Fuel_consumption
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,981,18
SUZUKI,WAGON R,2018,2019,4,P - Hybrid,658,38,7837,18.3
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,5337,18
SUZUKI,WAGON R,2018,2018,4,P - Hybrid,658,38,25000,18
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,3373,18.5
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,8452,18.4
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,10574,18.7
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,12982,17.9
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,14242,17.9
SUZUKI,WAGON R,2016,2018,3,P - Hybrid,658,38,1683,18
SUZUKI,WAGON R,2016,2017,3,P - Hybrid,658,38,84558,16.8
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,34558,17.1
SUZUKI,WAGON R,2017,2017,3,P - Hybrid,658,38,30455,18.2
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,35859,17.6
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,112131,14.2
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,9553,18.4
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,5272,18
SUZUKI,WAGON R,2016,2017,3,P - Hybrid,658,38,11353,18.2
SUZUKI,WAGON R,2015,2017,3,P - Hybrid,658,38,13424,17.5
SUZUKI,WAGON R,2018,2018,3,P - Hybrid,658,38,19232,17.3
SUZUKI,WAGON R,2015,2016,3,P - Hybrid,658,38,8769,16.7
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,78083,18.8
SUZUKI,WAGON R,2016,2017,3,P - Hybrid,658,38,62131,17.2
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,54876,16.9
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,67267,17.1
SUZUKI,WAGON R,2013,2013,3,P,998,50,134040,14.3
SUZUKI,WAGON R,2013,2013,3,P,998,50,156760,14.2
SUZUKI,WAGON R,2014,2014,3,P,998,50,148000,14.8
SUZUKI,WAGON R,2014,2014,3,P,998,50,124050,14.6
SUZUKI,WAGON R,2014,2015,3,P,998,50,93421,15.2
SUZUKI,WAGON R,2014,2014,3,P,998,50,126000,14.7
SUZUKI,WAGON R,2014,2014,3,P,998,50,134020,14.2
SUZUKI,WAGON R,2014,2015,4,P,1229,59,99800,13.9
SUZUKI,WAGON R,2014,2015,3,P,998,50,105055,14.6
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,83030,16
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,74341,17.9
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,52060,19.1
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,61478,18.9
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,88240,17.6
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,74289,18.2
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,99545,17.9
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,49005,17.5
SUZUKI,WAGON R,2015,2015,3,P - Hybrid,658,38,89380,18.1
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,21329,18
SUZUKI,WAGON R,2015,2017,3,P - Hybrid,658,38,29600,18
SUZUKI,WAGON R,2016,2017,3,P - Hybrid,658,38,24890,17.6
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,67900,17.5
SUZUKI,WAGON R,2016,2016,3,P - Hybrid,658,38,42360,18.3
SUZUKI,WAGON R,2015,2017,3,P - Hybrid,658,38,45740,15.6
SUZUKI,WAGON R,2015,2016,3,P - Hybrid,658,38,70400,16.7
SUZUKI,WAGON R,2016,2017,3,P - Hybrid,658,38,21900,18.1
SUZUKI,WAGON R,2015,2017,3,P - Hybrid,658,38,37890,15.8
SUZUKI,WAGON R,2016,2018,3,P - Hybrid,658,38,10500,17.2
