"type_name","model_name","year","transmission_name","fuel_name","engine_engineId","cons_consId"
"Hatchback","Wagon R","2016","Automatic","Mild-Hybrid",660,13.6
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,17
"Off-Road Vehicle / SUV","Vezel","2014","Automatic","Full-Hybrid",1500,14.8
"Off-Road Vehicle / SUV","Vezel","2014","Automatic","Full-Hybrid",1500,15
"Off-Road Vehicle / SUV","Vezel","2015","Automatic","Full-Hybrid",1500,15.2
"Off-Road Vehicle / SUV","Vezel","2016","Automatic","Full-Hybrid",1500,17.5
"Saloon","Axio","2016","Automatic","Full-Hybrid",1500,15
"Saloon","Axio","2016","Automatic","Full-Hybrid",1500,14.1
"Saloon","Axio","2015","Automatic","Full-Hybrid",1500,13.5
"Saloon","Axio","2014","Automatic","Full-Hybrid",1500,14.2
"Saloon","Axio","2013","Automatic","Full-Hybrid",1500,12.9
"Saloon","Axio","2012","Automatic","Full-Hybrid",1500,12.7
"Saloon","Axio","2011","Automatic","Full-Hybrid",1500,13.4
"Saloon","Axio","2010","Automatic","Petrol",1500,13.1
"Saloon","Axio","2009","Automatic","Petrol",1500,13.2
"Saloon","Axio","2008","Automatic","Petrol",1500,13.6
"Saloon","Axio","2007","Automatic","Petrol",1500,13.7
"Saloon","Axio","2006","Automatic","Petrol",1500,13.6
"Saloon","Axio","2005","Automatic","Petrol",1500,13.5
"Saloon","Axio","2017","Automatic","Full-Hybrid",1500,13
"Off-Road Vehicle / SUV","CR-V","2018","Automatic","Petrol",2000,15
"Off-Road Vehicle / SUV","CR-V","2016","Automatic","Petrol",2000,11
"Off-Road Vehicle / SUV","CR-V","2015","Automatic","Petrol",2000,11.5
"Off-Road Vehicle / SUV","CR-V","2014","Automatic","Petrol",2000,11.1
"Off-Road Vehicle / SUV","CR-V","2013","Automatic","Petrol",2000,11.2
"Off-Road Vehicle / SUV","CR-V","2012","Automatic","Petrol",2000,11.1
"Off-Road Vehicle / SUV","CR-V","2011","Automatic","Petrol",2000,9.8
"Off-Road Vehicle / SUV","CR-V","2010","Automatic","Petrol",2000,9.7
"Off-Road Vehicle / SUV","CR-V","2009","Automatic","Petrol",2000,9.8
"Off-Road Vehicle / SUV","CR-V","2008","Automatic","Petrol",2000,9.8
"Off-Road Vehicle / SUV","CR-V","2007","Automatic","Petrol",2000,10.1
"Off-Road Vehicle / SUV","CR-V","2006","Automatic","Petrol",2000,9.8
"Off-Road Vehicle / SUV","CR-V","2005","Automatic","Petrol",2000,9.5
"Hatchback","Wagon R","2016","Manual","Petrol",1000,21
"Hatchback","Wagon R","2016","Automatic","Mild-Hybrid",660,18
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,23
"Hatchback","Wagon R","2018","Automatic","Mild-Hybrid",660,24
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,15
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,12
"Hatchback","Wagon R","2015","Automatic","Mild-Hybrid",660,12
"Hatchback","Wagon R","2018","Automatic","Mild-Hybrid",660,15
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,18
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,18
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,15
"Hatchback","Wagon R","2018","Automatic","Mild-Hybrid",660,15
"Hatchback","Wagon R","2016","Automatic","Mild-Hybrid",660,18
"Hatchback","Wagon R","2016","Automatic","Mild-Hybrid",660,15
"Hatchback","Wagon R","2017","Automatic","Mild-Hybrid",660,21
"Hatchback","Wagon R","2016","Automatic","Mild-Hybrid",660,15
"Hatchback","Wagon R","2015","Manual","Petrol",1000,20.5
"Hatchback","Wagon R","2014","Manual","Petrol",1000,18.9
"Hatchback","Wagon R","2013","Manual","Petrol",1000,15.2
"Hatchback","Wagon R","2012","Manual","Petrol",1000,17.6
"Hatchback","Wagon R","2011","Manual","Petrol",1000,17
"Hatchback","Wagon R","2010","Automatic","Petrol",1000,16.1
"Hatchback","Wagon R","2009","Automatic","Petrol",1000,17.8
"Hatchback","Wagon R","2008","Automatic","Petrol",1000,15.7
"Hatchback","Wagon R","2007","Automatic","Petrol",1000,14.4
"Hatchback","Wagon R","2006","Automatic","Petrol",1000,13.9
"Hatchback","Wagon R","2005","Automatic","Petrol",1000,12.7
"Hatchback","800","2015","Manual","Petrol",796,21
"Hatchback","800","2008","Manual","Petrol",796,15
"Hatchback","Wagon R","2008","Manual","Mild-Hybrid",1000,12.5
"Hatchback","Alto","2014","Manual","Petrol",796,14.1
"Hatchback","Alto","2015","Manual","Petrol",796,14.3
"Hatchback","Alto","2016","Manual","Petrol",796,14.7
"Hatchback","800","2007","Manual","Petrol",796,18
"Hatchback","Alto","2006","Manual","Petrol",796,15
"Hatchback","Alto","2015","Manual","Petrol",796,12
"Hatchback","Alto","2016","Manual","Petrol",796,15
"Hatchback","Alto","2004","Manual","Petrol",796,12
"Hatchback","800","2015","Manual","Petrol",796,15
"Hatchback","Alto","2016","Automatic","Petrol",796,15
"Hatchback","800","2015","Manual","Petrol",796,15
"Hatchback","Alto","2015","Manual","Petrol",796,15
"Hatchback","Alto","2013","Automatic","Petrol",796,15
"Hatchback","Alto","2011","Manual","Petrol",796,15
"Hatchback","Alto","2016","Manual","Petrol",796,12
"Hatchback","Alto","2015","Manual","Petrol",796,15
"Hatchback","800","2006","Manual","Petrol",796,15
"Hatchback","Wagon R","2018","Automatic","Mild-Hybrid",650,15
"Hatchback","Alto","2015","Manual","Petrol",796,12
"Hatchback","800","2015","Manual","Petrol",796,12
"Hatchback","800","2010","Manual","Petrol",796,15
"Hatchback","800","2010","Manual","Petrol",796,15
"Saloon","Grace","2016","Automatic","Full-Hybrid",1500,12
"Saloon","Grace","2015","Automatic","Full-Hybrid",1500,15
"Saloon","Grace","2016","Automatic","Full-Hybrid",1500,14.5
"Saloon","Grace","2015","Automatic","Full-Hybrid",1500,13.2
"Saloon","Grace","2014","Automatic","Full-Hybrid",1500,14.3
"Saloon","Grace","2013","Automatic","Full-Hybrid",1500,12.2
"Saloon","Grace","2012","Automatic","Full-Hybrid",1500,12.2
"Saloon","Grace","2016","Automatic","Full-Hybrid",1500,15
"Saloon","Grace","2015","Automatic","Full-Hybrid",1500,12
"Saloon","Vios","2004","Automatic","Petrol",1500,12
"Saloon","Vios","2005","Automatic","Petrol",1500,14.1
"Saloon","Vios","2006","Automatic","Petrol",1500,14.1
"Saloon","Vios","2007","Automatic","Petrol",1500,13
"Saloon","Vios","2008","Automatic","Petrol",1500,14.5
"Saloon","Vios","2009","Automatic","Petrol",1500,11.9
"Saloon","Vios","2010","Automatic","Petrol",1500,14.7
"Saloon","Vios","2011","Automatic","Petrol",1500,13.3
"Saloon","Vios","2012","Automatic","Petrol",1500,12
"Saloon","Vios","2013","Automatic","Petrol",1500,13.1
"Saloon","Vios","2014","Automatic","Petrol",1500,12.5
"Saloon","Vios","2015","Automatic","Petrol",1500,12.4
