UID,Profession,Rating,Age,Profession_Category,Language_Spoken,Gender_Preference,Smoking,Music_Lover,Motion_Sickness,Like_Quietness
745181549731,Clerk,3.2,37,25,Sinhala,Male,Yes,Yes,Yes,Yes
494436398238,Driver,2.3,44,20,Sinhala,Male,Yes,Yes,Yes,Yes
823189981472,Body Guard,4.3,32,17,Sinhala,Male,Yes,Yes,Yes,Yes
650444020925,Security Officer,2.1,31,15,Sinhala,Male,Yes,Yes,Yes,Yes
480002401457,Clerk,2.6,31,20,Sinhala,Female,Yes,Yes,Yes,Yes
990064323243,Body Guard,3.9,33,17,Sinhala,Female,Yes,Yes,Yes,Yes
670697998425,Security Officer,4.9,35,15,Sinhala,Female,Yes,Yes,Yes,Yes
491243567613,Clerk,3.8,39,25,Sinhala,Female,Yes,Yes,Yes,Yes
517011168906,Driver,5,42,25,Sinhala,No,Yes,Yes,Yes,Yes
544571380092,Driver,3.6,23,25,Sinhala,No,Yes,Yes,Yes,Yes
310119731281,Driver,2.2,31,25,Sinhala,No,Yes,Yes,Yes,Yes
81444871489,Driver,4,29,15,Sinhala,No,Yes,Yes,Yes,Yes
643902684060,Clerk,2.1,42,20,Sinhala,Male,Yes,Yes,Yes,No
14966871010,Body Guard,4.3,36,15,Sinhala,Male,Yes,Yes,Yes,No
781607662551,Clerk,3.6,27,20,Sinhala,Male,Yes,Yes,Yes,No
553270279657,Body Guard,3.2,29,15,Sinhala,Male,Yes,Yes,Yes,No
475813252199,Clerk,3.5,23,32,Sinhala,Female,Yes,Yes,Yes,No
113427364411,intern,4.2,22,32,Sinhala,Female,Yes,Yes,Yes,No
433773168268,intern,4.9,24,32,Sinhala,Female,Yes,Yes,Yes,No
59706422197,intern,2.6,23,32,Sinhala,Female,Yes,Yes,Yes,No
817325365548,intern,2.7,22,32,Sinhala,No,Yes,Yes,Yes,No
458036390324,intern,4.7,22,32,Sinhala,No,Yes,Yes,Yes,No
492655934433,intern,4.8,25,32,Sinhala,No,Yes,Yes,Yes,No
724807076647,intern,4.9,22,32,Sinhala,No,Yes,Yes,Yes,No
269167386655,intern,2.2,23,42,Sinhala,No,Yes,Yes,Yes,No
636215731633,Administrative Assistant,4.6,35,42,Sinhala,Male,Yes,Yes,No,Yes
642641916029,Administrative Assistant,4.9,33,42,Sinhala,Male,Yes,Yes,No,Yes
931222502136,Administrative Assistant,2.7,35,42,Sinhala,Male,Yes,Yes,No,Yes
454400245159,Administrative Assistant,2.1,34,42,Sinhala,Male,Yes,Yes,No,Yes
674972231940,Administrative Assistant,3.6,37,42,Sinhala,Male,Yes,Yes,No,Yes
643300109643,Administrative Assistant,4.6,35,42,Sinhala,Female,Yes,Yes,No,Yes
181826779703,Administrative Assistant,4.9,33,42,Sinhala,Female,Yes,Yes,No,Yes
397570035557,Administrative Assistant,2.7,35,42,Sinhala,Female,Yes,Yes,No,Yes
224152847489,Administrative Assistant,2.1,34,42,Sinhala,Female,Yes,Yes,No,Yes
774413941010,Administrative Assistant,3.6,37,42,Sinhala,No,Yes,Yes,No,Yes
284430590731,Bank Assistant,2.9,27,38,Sinhala,No,Yes,Yes,No,Yes
630601240006,Bank Assistant,2.7,29,38,Sinhala,No,Yes,Yes,No,Yes
694712242352,Bank Assistant,4.6,38,38,Sinhala,No,Yes,Yes,No,Yes
143819017313,Bank Assistant,3.4,50,38,Sinhala,No,Yes,Yes,No,Yes
968175161403,Bank Assistant,2.9,35,38,Sinhala,Male,Yes,Yes,No,No
149031674158,IT Support,3.4,24,40,Sinhala,Male,Yes,Yes,No,No
791001045500,IT Support,3.7,35,40,Sinhala,Male,Yes,Yes,No,No
502193044735,IT Support,2.3,27,40,English,Male,Yes,Yes,No,No
570073296370,IT Support,2.9,18,40,Sinhala,Female,Yes,Yes,No,No
610481101992,IT Support,3,30,40,Sinhala,Female,Yes,Yes,No,No
66413235625,IT Support,4.8,38,40,Sinhala,Female,Yes,Yes,No,No
20389462670,IT Support,3.8,28,35,Sinhala,Female,Yes,Yes,No,No
906239911098,Cashier,3.6,34,35,Sinhala,No,Yes,Yes,No,No
280697688403,Cashier,4.2,26,35,Sinhala,No,Yes,Yes,No,No
669462656930,Cashier,3.3,30,35,Sinhala,No,Yes,Yes,No,No
81048705851,Cashier,5,22,35,Sinhala,No,Yes,Yes,No,No
491983999049,Cashier,4.3,33,35,Sinhala,No,Yes,Yes,No,No
548432295574,Cashier,4.9,31,35,Sinhala,Male,Yes,No,Yes,Yes
676839892619,Clerks,2.8,32,35,Sinhala,Male,Yes,No,Yes,Yes
600335926558,Clerks,3.8,28,35,Sinhala,Male,Yes,No,Yes,Yes
108694917888,Clerks,4.6,27,35,Sinhala,Male,Yes,No,Yes,Yes
675439313179,Manager,2.5,32,25,Sinhala,Male,Yes,No,Yes,Yes
6159469793,Driver,4,21,25,Sinhala,Female,Yes,No,Yes,Yes
424091742405,Driver,2.2,30,25,Sinhala,Female,Yes,No,Yes,Yes
670398478786,Driver,4.7,24,25,Sinhala,Female,Yes,No,Yes,Yes
675102998332,Driver,4.2,26,25,Sinhala,Female,Yes,No,Yes,Yes
559575381948,Driver,3.7,40,25,Sinhala,No,Yes,No,Yes,Yes
477278970380,Driver,4.6,37,25,Sinhala,No,Yes,No,Yes,Yes
914516686095,Driver,4.1,26,25,Sinhala,No,Yes,No,Yes,Yes
378289856860,Driver,2.1,32,20,Sinhala,No,Yes,No,Yes,Yes
794938607039,Body Guard,2.5,32,20,Sinhala,No,Yes,No,Yes,Yes
124775453874,Body Guard,4.5,27,20,Sinhala,Male,Yes,No,Yes,No
653180200838,Body Guard,3.1,30,20,Sinhala,Male,Yes,No,Yes,No
616204492923,Body Guard,3.6,31,20,Sinhala,Male,Yes,No,Yes,No
398195301266,Body Guard,2.5,29,20,Sinhala,Male,Yes,No,Yes,No
390857072571,Body Guard,2.8,41,20,Sinhala,Female,Yes,No,Yes,No
569709883531,Body Guard,4.7,34,20,Sinhala,Female,Yes,No,Yes,No
833967313875,Body Guard,2.5,33,17,Sinhala,Female,Yes,No,Yes,No
43889084342,Security Officer,4.4,28,17,Sinhala,Female,Yes,No,Yes,No
747041263488,Security Officer,4.8,28,17,Sinhala,No,Yes,No,Yes,No
373339622576,Security Officer,4.8,23,17,Sinhala,No,Yes,No,Yes,No
625741340775,Security Officer,3.6,24,17,Sinhala,No,Yes,No,Yes,No
4710443865,Security Officer,3.6,32,17,Sinhala,No,Yes,No,Yes,No
90964146479,Security Officer,2.8,34,17,Sinhala,No,Yes,No,Yes,No
819853695814,Security Officer,4.7,24,17,Sinhala,Male,Yes,No,No,Yes
770873546948,Security Officer,4.6,26,15,Sinhala,Male,Yes,No,No,Yes
181358176123,Clerical Staff,4.5,36,15,Sinhala,Male,Yes,No,No,Yes
233026126101,Clerical Staff,4.8,41,15,Sinhala,Male,Yes,No,No,Yes
284529073265,Clerical Staff,3.7,38,15,Sinhala,Female,Yes,No,No,Yes
474279305293,Clerical Staff,2.4,38,15,Sinhala,Female,Yes,No,No,Yes
842496759093,Clerical Staff,4.4,30,15,Sinhala,Female,Yes,No,No,Yes
621942935534,Clerical Staff,3.9,25,15,Sinhala,Female,Yes,No,No,Yes
458634507673,Clerical Staff,2.8,37,15,Sinhala,No,Yes,No,No,Yes
152907592768,Clerical Staff,3.5,34,15,Sinhala,No,Yes,No,No,Yes
479423229846,Clerical Staff,3.1,37,15,Sinhala,No,Yes,No,No,Yes
309898371156,Clerical Staff,4.5,36,25,Sinhala,No,Yes,No,No,Yes
790366554349,Clerk,3.2,37,20,Tamil,No,Yes,No,No,Yes
101801642826,Driver,2.3,44,17,Tamil,Male,Yes,No,No,No
711665462248,Body Guard,4.3,32,15,Tamil,Male,Yes,No,No,No
272783771413,Security Officer,2.1,31,20,Tamil,Male,Yes,No,No,No
234682932998,Clerk,2.6,31,17,Tamil,Male,Yes,No,No,No
434909162624,Body Guard,3.9,33,15,Tamil,Female,Yes,No,No,No
185936756252,Security Officer,4.9,35,25,Tamil,Female,Yes,No,No,No
683481206911,Clerk,3.8,39,25,Tamil,Female,Yes,No,No,No
72082925439,Driver,5,42,25,Tamil,Female,Yes,No,No,No
285668588524,Driver,3.6,23,25,Tamil,No,Yes,No,No,No
622627841791,Driver,2.2,31,15,Tamil,No,Yes,No,No,No
512646413111,Driver,4,29,20,Tamil,No,Yes,No,No,No
762466156451,Clerk,2.1,42,15,Tamil,No,Yes,No,No,No
343522192227,Body Guard,4.3,36,20,Tamil,No,Yes,No,No,No
85691744919,Clerk,3.6,27,15,Tamil,Male,No,Yes,Yes,Yes
797172971115,Body Guard,3.2,29,32,Tamil,Male,No,Yes,Yes,Yes
223721783443,Clerk,3.5,23,32,Tamil,Male,No,Yes,Yes,Yes
302427360878,intern,4.2,22,32,Tamil,Male,No,Yes,Yes,Yes
164596137575,intern,4.9,24,32,Tamil,Female,No,Yes,Yes,Yes
549501577903,intern,2.6,23,32,Tamil,Female,No,Yes,Yes,Yes
410387731521,intern,2.7,22,32,Tamil,Female,No,Yes,Yes,Yes
508881175597,intern,4.7,22,32,Tamil,Female,No,Yes,Yes,Yes
271069485647,intern,4.8,25,32,Tamil,Female,No,Yes,Yes,Yes
859823675363,intern,4.9,22,42,English,No,No,Yes,Yes,Yes
460951248233,intern,2.2,23,42,English,No,No,Yes,Yes,Yes
263508992122,Administrative Assistant,4.6,35,42,English,No,No,Yes,Yes,Yes
427310307187,Administrative Assistant,4.9,33,42,English,No,No,Yes,Yes,Yes
201314551209,Administrative Assistant,2.7,35,42,English,No,No,Yes,Yes,Yes
705208977332,Administrative Assistant,2.1,34,42,English,No,No,Yes,Yes,Yes
100439869544,Administrative Assistant,3.6,37,32,English,Male,No,Yes,Yes,No
843625289286,Administrative Assistant,4.6,35,32,English,Male,No,Yes,Yes,No
547812244798,Administrative Assistant,4.9,33,35,English,Male,No,Yes,Yes,No
336750963585,Administrative Assistant,2.7,35,37,English,Male,No,Yes,Yes,No
364163131930,Administrative Assistant,2.1,34,31,English,Male,No,Yes,Yes,No
212744442642,Administrative Assistant,3.6,37,38,English,Female,No,Yes,Yes,No
9039722504,Bank Assistant,2.9,27,38,English,Female,No,Yes,Yes,No
664952760218,Bank Assistant,2.7,29,38,English,Female,No,Yes,Yes,No
503163077360,Bank Assistant,4.6,38,38,English,No,No,Yes,Yes,No
979010157144,Bank Assistant,3.4,50,40,English,No,No,Yes,Yes,No
391150196829,Bank Assistant,2.9,35,40,English,No,No,Yes,Yes,No
686895823717,IT Support,3.4,24,40,English,No,No,Yes,Yes,No
23148894214,IT Support,3.7,35,40,English,No,No,Yes,Yes,No
552518549381,IT Support,2.3,27,40,English,Male,No,Yes,No,Yes
964225691946,IT Support,2.9,18,40,Sinhala,Male,No,Yes,No,Yes
496785810617,IT Support,3,30,40,Sinhala,Male,No,Yes,No,Yes
279379671264,IT Support,4.8,38,35,Sinhala,Male,No,Yes,No,Yes
652106640215,IT Support,3.8,28,35,Sinhala,Female,No,Yes,No,Yes
939239829279,Cashier,3.6,34,35,Sinhala,Female,No,Yes,No,Yes
241161050773,Cashier,4.2,26,35,Sinhala,Female,No,Yes,No,Yes
862185968348,Cashier,3.3,30,35,Sinhala,Female,No,Yes,No,Yes
