UID,Profession,Rating,Age,Profession_Category,Language_Spoken,Gender_Preference,Smoking,Music_Lover,Motion_Sickness,Like_Quietness
U1558711443502,Driver,5.0,32,25,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443504,Body Guard,3.9,33,17,Sinhala,Female,Yes,Yes,Yes,Yes
U1558711443505,Security Officer,4.9,35,15,Sinhala,Female,Yes,Yes,Yes,Yes
U1558711443506,Driver,3.6,23,25,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443507,Clerk,2.6,31,33,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443508,Security Officer,4.9,23,15,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443509,Clerk,3.5,23,32,Sinhala,Female,Yes,Yes,Yes,No
U1558711443511,Driver,5.0,29,15,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443512,Driver,2.2,31,25,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443513,Clerk,3.2,25,30,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443514,Driver,2.3,25,27,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443516,CIO,2.6,37,100,Sinhala,Female,No,No,Yes,No
U1558711443518,CIO,4.7,32,100,Sinhala,Female,No,No,Yes,No
U1558711443519,CIO,4.8,31,97,Sinhala,No,No,No,Yes,No
