UID,Profession,Rating,Age,Profession_Category,Language_Spoken,Gender_Preference,Smoking,Music_Lover,Motion_Sickness,Like_Quietness
U8450302883366,Clerk,3.2,37,25,Sinhala,Male,Yes,Yes,Yes,Yes
U788539641894,Driver,2.4,44,20,Sinhala,Male,Yes,Yes,Yes,Yes
U2879353312224,Body Guard,4.3,32,17,Sinhala,Male,Yes,Yes,Yes,Yes
U3650469397532,Security Officer,2.1,31,15,Sinhala,Male,Yes,Yes,Yes,Yes
U1558711443588,Clerk,2.6,31,20,Sinhala,Female,Yes,Yes,Yes,Yes
U1558711443504,Body Guard,3.9,33,17,Sinhala,Female,Yes,Yes,Yes,Yes
U1558711443505,Security Officer,4.9,35,15,Sinhala,Female,Yes,Yes,Yes,Yes
U1558711443503,Clerk,3.8,39,25,Sinhala,Female,Yes,Yes,Yes,Yes
U1558711443502,Driver,5,32,25,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443506,Clerk,4.75,25,24,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443512,Driver,2.2,31,25,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443513,Clerk,4.25,25,30,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443514,Driver,2.3,25,27,Sinhala,No,Yes,Yes,Yes,Yes
U6932118549572,Body Guard,4.3,25,21,Sinhala,No,Yes,Yes,Yes,Yes
U5888630437833,Security Officer,2.1,31,21,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443507,Clerk,2.6,31,33,Sinhala,No,Yes,Yes,Yes,Yes
U1560496133942,Body Guard,3.9,31,30,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443508,Security Officer,4.9,23,15,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443510,Clerk,3.8,23,10,Sinhala,No,Yes,Yes,Yes,Yes
U1558711443511,Driver,5,29,15,Sinhala,No,Yes,Yes,Yes,Yes
U2597891615363,Clerk,3.6,42,20,Sinhala,Male,Yes,Yes,Yes,No
U4447842946423,Body Guard,2.2,36,15,Sinhala,Male,Yes,Yes,Yes,No
U5763152126254,Clerk,3.6,27,20,Sinhala,Male,Yes,Yes,Yes,No
U4949750016599,Body Guard,3.2,29,15,Sinhala,Male,Yes,Yes,Yes,No
U1558711443509,Clerk,3.5,23,32,Sinhala,Female,Yes,Yes,Yes,No
U1558711443578,intern,4.2,22,32,Sinhala,Female,Yes,Yes,Yes,No
