UID,Profession,Rating,Age,Profession_Category,Language_Spoken,Gender_Preference,Smoking,Music_Lover,Motion_Sickness,Like_Quietness
517011168906,Driver,5.0,32,25,Sinhala,No,Yes,Yes,Yes,Yes
544571380092,Driver,3.6,23,25,Sinhala,No,Yes,Yes,Yes,Yes
310119731281,Driver,2.2,31,25,Sinhala,No,Yes,Yes,Yes,Yes
328718805087,Clerk,3.2,25,30,Sinhala,No,Yes,Yes,Yes,Yes
147688808452,Driver,2.3,25,27,Sinhala,No,Yes,Yes,Yes,Yes
408453901605,Body Guard,4.3,25,21,Sinhala,No,Yes,Yes,Yes,Yes
618237461123,Security Officer,2.1,31,21,Sinhala,No,Yes,Yes,Yes,Yes
483075370677,Clerk,2.6,31,33,Sinhala,No,Yes,Yes,Yes,Yes
461577525172,Body Guard,3.9,31,30,Sinhala,No,Yes,Yes,Yes,Yes
966714454144,Security Officer,4.9,23,15,Sinhala,No,Yes,Yes,Yes,Yes
876122035540,Clerk,3.8,23,10,Sinhala,No,Yes,Yes,Yes,Yes
81444871489,Driver,5.0,29,15,Sinhala,No,Yes,Yes,Yes,Yes
929501181777,Network Engineer,3.8,24,55,Sinhala,No,Yes,Yes,Yes,Yes
462992900303,Network Engineer,4.8,33,55,Sinhala,No,Yes,Yes,Yes,Yes
389613720907,Network Engineer,2.1,33,55,Sinhala,No,Yes,Yes,Yes,Yes
950200675646,Network Engineer,3.1,30,55,Sinhala,No,Yes,Yes,Yes,Yes
395135649330,Network Engineer,2.0,32,55,Sinhala,No,Yes,Yes,Yes,Yes
996003282920,Doctor,4.4,24,98,Sinhala,No,Yes,Yes,Yes,Yes
349150645720,Doctor,4.2,33,95,Sinhala,No,Yes,Yes,Yes,Yes
230496802076,Lawyer,4.0,33,95,Sinhala,No,Yes,Yes,Yes,Yes
300199893115,Lawyer,2.1,30,95,Sinhala,No,Yes,Yes,Yes,Yes
192724384307,Lawyer,4.3,32,95,Sinhala,No,Yes,Yes,Yes,Yes
540748974984,Lawyer,3.6,32,95,Sinhala,No,Yes,Yes,Yes,Yes
508234470710,Lawyer,3.2,33,95,Sinhala,No,Yes,Yes,Yes,Yes
