UID,Profession,Rating,Age,Profession_Category,Language_Spoken,Gender_Preference,Smoking,Music_Lover,Motion_Sickness,Like_Quietness
4.99474E+11,Clerk,3.2,37,25,Sinhala,Male,Yes,Yes,Yes,Yes
7.74394E+11,Driver,2.3,44,20,Sinhala,Male,Yes,Yes,Yes,Yes
3.44742E+11,Body Guard,4.3,32,17,Sinhala,Male,Yes,Yes,Yes,Yes
1.41247E+11,Security Officer,2.1,31,15,Sinhala,Male,Yes,Yes,Yes,Yes
7.00592E+11,Clerk,2.6,31,20,Sinhala,Female,Yes,Yes,Yes,Yes
7.78248E+11,Body Guard,3.9,33,17,Sinhala,Female,Yes,Yes,Yes,Yes
1.7727E+11,Security Officer,4.9,35,15,Sinhala,Female,Yes,Yes,Yes,Yes
2.99721E+11,Clerk,3.8,39,25,Sinhala,Female,Yes,Yes,Yes,Yes
4.36616E+11,Driver,5,42,25,Sinhala,No,Yes,Yes,Yes,Yes
2.37634E+11,Driver,3.6,23,25,Sinhala,No,Yes,Yes,Yes,Yes
6.17237E+11,Driver,2.2,31,25,Sinhala,No,Yes,Yes,Yes,Yes
8.63339E+11,Driver,4,29,15,Sinhala,No,Yes,Yes,Yes,Yes
6.80093E+11,Clerk,2.1,42,20,Sinhala,Male,Yes,Yes,Yes,No
3.84235E+11,Body Guard,4.3,36,15,Sinhala,Male,Yes,Yes,Yes,No
1.33612E+11,Clerk,3.6,27,20,Sinhala,Male,Yes,Yes,Yes,No
8.20172E+11,Body Guard,3.2,29,15,Sinhala,Male,Yes,Yes,Yes,No
96857963581,Clerk,3.5,23,32,Sinhala,Female,Yes,Yes,Yes,No
47146407598,intern,4.2,22,32,Sinhala,Female,Yes,Yes,Yes,No
8.39548E+11,intern,4.9,24,32,Sinhala,Female,Yes,Yes,Yes,No
9.53858E+11,intern,2.6,23,32,Sinhala,Female,Yes,Yes,Yes,No
6.61544E+11,intern,2.7,22,32,Sinhala,No,Yes,Yes,Yes,No
3155070305,intern,4.7,22,32,Sinhala,No,Yes,Yes,Yes,No
5.76259E+11,intern,4.8,25,32,Sinhala,No,Yes,Yes,Yes,No
6.26388E+11,intern,4.9,22,32,Sinhala,No,Yes,Yes,Yes,No
9.69036E+11,intern,2.2,23,42,Sinhala,No,Yes,Yes,Yes,No
9.72117E+11,Administrative Assistant,4.6,35,42,Sinhala,Male,Yes,Yes,No,Yes
1.9789E+11,Administrative Assistant,4.9,33,42,Sinhala,Male,Yes,Yes,No,Yes
2.33701E+11,Administrative Assistant,2.7,35,42,Sinhala,Male,Yes,Yes,No,Yes
99326092154,Administrative Assistant,2.1,34,42,Sinhala,Male,Yes,Yes,No,Yes
7.93057E+11,Administrative Assistant,3.6,37,42,Sinhala,Male,Yes,Yes,No,Yes
2.77252E+11,Administrative Assistant,4.6,35,42,Sinhala,Female,Yes,Yes,No,Yes
34395700307,Administrative Assistant,4.9,33,42,Sinhala,Female,Yes,Yes,No,Yes
7.86398E+11,Administrative Assistant,2.7,35,42,Sinhala,Female,Yes,Yes,No,Yes
6.8786E+11,Administrative Assistant,2.1,34,42,Sinhala,Female,Yes,Yes,No,Yes
2.86124E+11,Administrative Assistant,3.6,37,42,Sinhala,No,Yes,Yes,No,Yes
2.74539E+11,Bank Assistant,2.9,27,38,Sinhala,No,Yes,Yes,No,Yes
3.55739E+11,Bank Assistant,2.7,29,38,Sinhala,No,Yes,Yes,No,Yes
4.88777E+11,Bank Assistant,4.6,38,38,Sinhala,No,Yes,Yes,No,Yes
1.6804E+11,Bank Assistant,3.4,50,38,Sinhala,No,Yes,Yes,No,Yes
6.83341E+11,Bank Assistant,2.9,35,38,Sinhala,Male,Yes,Yes,No,No
4.42799E+11,IT Support,3.4,24,40,Sinhala,Male,Yes,Yes,No,No
4.70356E+11,IT Support,3.7,35,40,Sinhala,Male,Yes,Yes,No,No
6.89045E+11,IT Support,2.3,27,40,English,Male,Yes,Yes,No,No
4.04906E+11,IT Support,2.9,18,40,Sinhala,Female,Yes,Yes,No,No
9.58082E+11,IT Support,3,30,40,Sinhala,Female,Yes,Yes,No,No
6.43202E+11,IT Support,4.8,38,40,Sinhala,Female,Yes,Yes,No,No
6.83754E+11,IT Support,3.8,28,35,Sinhala,Female,Yes,Yes,No,No
2.21679E+11,Cashier,3.6,34,35,Sinhala,No,Yes,Yes,No,No
9.21075E+11,Cashier,4.2,26,35,Sinhala,No,Yes,Yes,No,No
1.60438E+11,Cashier,3.3,30,35,Sinhala,No,Yes,Yes,No,No
9.73846E+11,Cashier,5,22,35,Sinhala,No,Yes,Yes,No,No
3.56692E+11,Cashier,4.3,33,35,Sinhala,No,Yes,Yes,No,No
7.88426E+11,Cashier,4.9,31,35,Sinhala,Male,Yes,No,Yes,Yes
4.89324E+11,Clerks,2.8,32,35,Sinhala,Male,Yes,No,Yes,Yes
